name,address,city,state,zip,country,phone,lat,lng,url
"Planned Parenthood - San Pedro 150","920 San Pedro Ave. Suite 150","San Antonio","TX","78212","US","210-806-0324","29.4423583","-98.4987605","https://www.plannedparenthood.org/health-center/texas/san-antonio/78212/planned-parenthood-san-pedro-150-2254-91610"
"Baltimore City Health Center","330 North Howard Street","Baltimore","MD","21201","US","410-576-1414","39.2937589","-76.62008260000002","https://www.plannedparenthood.org/health-center/maryland/baltimore/21201/baltimore-city-health-center-3292-90620"
"Annapolis Health Center","929 West Street Suite 200","Annapolis","MD","21401","US","410-576-1414","38.97618409999999","-76.5092391","https://www.plannedparenthood.org/health-center/maryland/annapolis/21401/annapolis-health-center-2834-90620"
"Easton Health Center, MD","8579 Commerce Drive #102","Easton","MD","21601","US","410-576-1414","38.7842106","-76.0823587","https://www.plannedparenthood.org/health-center/maryland/easton/21601/easton-health-center-md-2830-90620"
"Wilmington Health Center","1925 Tradd Court","Wilmington","NC","28401","US","910-762-5566","34.209004","-77.9273857","https://www.plannedparenthood.org/health-center/north-carolina/wilmington/28401/wilmington-health-center-2595-90860"
"New Albany Health Center","412 New Albany Plaza","New Albany","IN","47150","US","317-205-8088","38.3068779","-85.8383693","https://www.plannedparenthood.org/health-center/indiana/new-albany/47150/new-albany-health-center-2634-91810"
"Oshkosh Health Center","378 S. Koeller St.","Oshkosh","WI","54902","US","920-235-0115","44.0154597","-88.58168320000001","https://www.plannedparenthood.org/health-center/wisconsin/oshkosh/54902/oshkosh-health-center-2583-91860"
"Vienna Health Center","522 Grand Central Ave.","Vienna","WV","26105","US","304-295-3331","39.3038762","-81.54911209999999","https://www.plannedparenthood.org/health-center/west-virginia/vienna/26105/vienna-health-center-2893-90860"
"Toledo Health Center","1301 Jefferson Ave","Toledo","OH","43604","US","419-255-1115","41.6538683","-83.54455619999999","https://www.plannedparenthood.org/health-center/ohio/toledo/43604/toledo-health-center-3345-91230"
"Metro West Health Center","91 Main Street","Marlborough","MA","1752","US","800-258-4448","42.34732","-71.54601459999999","https://www.plannedparenthood.org/health-center/massachusetts/marlborough/01752/metro-west-health-center-3951-90610"
"Pasco Health Center","3901 W. Court St.","Pasco","WA","99301","US","866-904-7721","46.242114","-119.14236599999998","https://www.plannedparenthood.org/health-center/washington/pasco/99301/pasco-health-center-3971-91850"
"Media Health Center","216 W State Street","Media","PA","19063","US","610-566-2830","39.9181949","-75.3927323","https://www.plannedparenthood.org/health-center/pennsylvania/media/19063/media-health-center-2338-91460"
"North Austin Health Center","9041 Research #250","Austin","TX","78758","US","512-331-1288","30.3737166","-97.7255182","https://www.plannedparenthood.org/health-center/texas/austin/78758/north-austin-health-center-2398-91620"
"Raleigh Health Center","100 S Boylan Ave.","Raleigh","NC","27603","US","919-833-7526","35.7797597","-78.6494882","https://www.plannedparenthood.org/health-center/north-carolina/raleigh/27603/raleigh-health-center-3338-90860"
"Planned Parenthood - Brownsville","870 E. Alton Gloor Blvd.","Brownsville","TX","78526","US","956-546-4571","25.978752199999995","-97.5038158","https://www.plannedparenthood.org/health-center/texas/brownsville/78526/planned-parenthood-brownsville-3342-91710"
"West Hartford Center","1030 New Britain Ave","West Hartford","CT","6110","US","860-953-6201","41.7305267","-72.72398329999999","https://www.plannedparenthood.org/health-center/connecticut/west-hartford/06110/west-hartford-center-2216-90220"
"Norwich Center","12 Case Street","Norwich","CT","6360","US","860-889-5211","41.55390619999999","-72.1036719","https://www.plannedparenthood.org/health-center/connecticut/norwich/06360/norwich-center-2217-90220"
"Stamford Center","35 Sixth Street","Stamford","CT","6902","US","203-327-2722","41.05632779999999","-73.5182201","https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220"
"Allentown Medical Center","29 North Ninth Street","Allentown","PA","18101","US","610-439-1033","40.6022","-75.47556399999999","https://www.plannedparenthood.org/health-center/pennsylvania/allentown/18101/allentown-medical-center-2723-91410"
"New Haven Center","345 Whitney Ave","New Haven","CT","6511","US","203-503-0450","41.3198339","-72.9182859","https://www.plannedparenthood.org/health-center/connecticut/new-haven/06511/new-haven-center-3271-90220"
"Virginia Beach Health Center","515 Newtown Road","Virginia Beach","VA","23462","US","757-499-7526","36.85723000000001","-76.17746499999998","https://www.plannedparenthood.org/health-center/virginia/virginia-beach/23462/virginia-beach-health-center-4166-91750"
"York Medical Center","728 South Beaver St","York","PA","17401","US","717-845-9681","39.95241750000001","-76.7251917","https://www.plannedparenthood.org/health-center/pennsylvania/york/17401/york-medical-center-3786-91410"
"Milwaukee-Lincoln Plaza Health Center","2239 S 108th Street","West Allis","WI","53227","US","414-541-2772","43.0035476","-88.04791150000001","https://www.plannedparenthood.org/health-center/wisconsin/west-allis/53227/milwaukee-lincoln-plaza-health-center-2822-91860"
"Biddeford Health Center","275 Main St, Suite 102","Biddeford","ME","4005","US","207-282-6620","43.48572670000001","-70.4983211","https://www.plannedparenthood.org/health-center/maine/biddeford/04005/biddeford-health-center-2943-91770"
"Burbank Health Center","916 W Burbank Blvd. #M","Burbank","CA","91506","US","800-576-5544","34.1835718","-118.3222662","https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070"
"East Los Angeles Health Center","5068 Whittier Blvd.","Los Angeles","CA","90022","US","800-576-5544","34.020852","-118.1604277","https://www.plannedparenthood.org/health-center/california/los-angeles/90022/east-los-angeles-health-center-3375-90070"
"Lancaster Medical Center","31 South Lime Street","Lancaster","PA","17602","US","717-299-2891","40.0375251","-76.3007121","https://www.plannedparenthood.org/health-center/pennsylvania/lancaster/17602/lancaster-medical-center-2687-91410"
"Saratoga Springs Center","236 Washington Street","Saratoga Springs","NY","12866","US","518-584-0041","43.0795502","-73.8012735","https://www.plannedparenthood.org/health-center/new-york/saratoga-springs/12866/saratoga-springs-center-2776-91110"
"Charlotte Health Center","700 South Torrence Street","Charlotte","NC","28204","US","704-536-7233","35.1990827","-80.7665524","https://www.plannedparenthood.org/health-center/north-carolina/charlotte/28204/charlotte-health-center-2703-90860"
"West Valley Health Center","1906 West 3600 South","West Valley City","UT","84119","US","801-973-9675","40.6947011","-111.94292129999998","https://www.plannedparenthood.org/health-center/utah/west-valley-city/84119/west-valley-health-center-3568-91730"
"Milwaukee - Capitol Drive Health Center","801 East Capitol Drive","Milwaukee","WI","53212","US","414-967-4945","43.0882799","-87.9004256","https://www.plannedparenthood.org/health-center/wisconsin/milwaukee/53212/milwaukee-capitol-drive-health-center-3488-91860"
"Riverhead Center","877 E Main Street - Suite 109","Riverhead","NY","11901","US","631-369-0230","40.919665","-72.6550027","https://www.plannedparenthood.org/health-center/new-york/riverhead/11901/riverhead-center-4264-91220"
"White Plains Center","175 Tarrytown Road","White Plains","NY","10607","US","914-761-6566","41.0403161","-73.78863480000001","https://www.plannedparenthood.org/health-center/new-york/white-plains/10607/white-plains-center-2203-91220"
"Flint Health Center","G-3371 Beecher Road","Flint","MI","48532","US","810-238-3631","43.01609090000001","-83.745863","https://www.plannedparenthood.org/health-center/michigan/flint/48532/flint-health-center-3298-90630"
"Kalamazoo Health Center","4201 W Michigan Ave","Kalamazoo","MI","49006","US","269-372-1200","42.2766286","-85.6409854","https://www.plannedparenthood.org/health-center/michigan/kalamazoo/49006/kalamazoo-health-center-3299-90630"
"Petoskey Health Center","1003 Spring St.","Petoskey","MI","49770","US","231-347-9692","45.36387499999999","-84.970457","https://www.plannedparenthood.org/health-center/michigan/petoskey/49770/petoskey-health-center-2918-90630"
"Norristown Abortion Center","1221 Powell Street","Norristown","PA","19401","US","610-279-6095","40.1234663","-75.3372924","https://www.plannedparenthood.org/health-center/pennsylvania/norristown/19401/norristown-abortion-center-3952-91460"
"Locust Street Surgical Center","1144 Locust Street","Philadelphia","PA","19107","US","215-351-5550","39.9476224","-75.1606336","https://www.plannedparenthood.org/health-center/pennsylvania/philadelphia/19107/locust-street-surgical-center-3360-91460"
"Reproductive Health Services of PPSLR","4251 Forest Park Avenue","Saint Louis","MO","63108","US","314-531-7526","38.6370474","-90.25122720000002","https://www.plannedparenthood.org/health-center/missouri/saint-louis/63108/reproductive-health-services-of-ppslr-3302-1169"
"Decatur Health Center","3021 N Oakland Ave","Decatur","IL","62526","US","217-877-6474","39.87721679999999","-88.97431589999998","https://www.plannedparenthood.org/health-center/illinois/decatur/62526/decatur-health-center-3282-90430"
"Planned Parenthood Center for Choice Ambulatory Surgical Center (Abortion)","4600 Gulf Freeway, Ste.300","Houston","TX","77023","US","713-535-2400","29.7256613","-95.3347957","https://www.plannedparenthood.org/health-center/texas/houston/77023/planned-parenthood-center-for-choice-ambulatory-surgical-center-abortion-2292-91651"
"Alamosa","1560 12th Street #7","Alamosa","CO","81101","US","719-589-4906","37.4601344","-105.8701672","https://www.plannedparenthood.org/health-center/colorado/alamosa/81101/alamosa-2153-90210"
"Mount Vernon Center","6 Gramatan Avenue, 4th Floor","Mount Vernon","NY","10550","US","914-668-7927","40.9124845","-73.8376727","https://www.plannedparenthood.org/health-center/new-york/mount-vernon/10550/mount-vernon-center-2204-91220"
"New London Center","45 Franklin Street","New London","CT","6320","US","860-443-5820","41.3550678","-72.101972","https://www.plannedparenthood.org/health-center/connecticut/new-london/06320/new-london-center-2223-90220"
"Charlottesville Health Center","2964 Hydraulic Road","Charlottesville","VA","22901","US","434-296-1000","38.0813221","-78.4920603","https://www.plannedparenthood.org/health-center/virginia/charlottesville/22901/charlottesville-health-center-2815-90860"
"Torrington Center","249 Winsted Road","Torrington","CT","6790","US","860-489-5500","41.823486200000005","-73.11757709999999","https://www.plannedparenthood.org/health-center/connecticut/torrington/06790/torrington-center-2222-90220"
"Meriden Center","26 Women's Way","Meriden","CT","6451","US","203-238-0542","41.5427267","-72.7988815","https://www.plannedparenthood.org/health-center/connecticut/meriden/06451/meriden-center-2543-90220"
"Las Vegas West Charleston","3220 W Charleston Blvd.","Las Vegas","NV","89102","US","702-878-7776","36.1594416","-115.18593520000002","https://www.plannedparenthood.org/health-center/nevada/las-vegas/89102/las-vegas-west-charleston-2304-90210"
"First Avenue Specialty Services Michelle Wagner Center","2017 First Avenue","San Diego","CA","92101","US","888-743-7526","32.726452","-117.163608","https://www.plannedparenthood.org/health-center/california/san-diego/92101/first-avenue-specialty-services-michelle-wagner-center-4036-90110"
"Spring Valley Center","25 Perlman Drive","Spring Valley","NY","10977","US","845-426-7577","41.1058187","-74.03202529999999","https://www.plannedparenthood.org/health-center/new-york/spring-valley/10977/spring-valley-center-2226-91220"
"Rochester Health Center","1212 7th St. NW","Rochester","MN","55901","US","507-288-5186","44.0315747","-92.4805051","https://www.plannedparenthood.org/health-center/minnesota/rochester/55901/rochester-health-center-2799-90720"
"Manchester Center","319B Main Street","Manchester","CT","6040","US","860-643-1607","41.782268","-72.5223318","https://www.plannedparenthood.org/health-center/connecticut/manchester/06040/manchester-center-2221-90220"
"Hartford North Center","1229 Albany Avenue","Hartford","CT","6112","US","860-728-0203","41.782142","-72.6972373","https://www.plannedparenthood.org/health-center/connecticut/hartford/06112/hartford-north-center-2220-90220"
"Providence Health Center","175 Broad Street","Providence","RI","2903","US","401-421-9620","41.816628","-71.407959","https://www.plannedparenthood.org/health-center/rhode-island/providence/02903/providence-health-center-3362-90220"
"Hampton Health Center","403 Yale Drive","Hampton","VA","23666","US","757-826-2079","37.030742","-76.4235893","https://www.plannedparenthood.org/health-center/virginia/hampton/23666/hampton-health-center-4164-91750"
"Gaithersburg Center","19650 Clubhouse Road #101","Gaithersburg","MD","20886","US","301-208-1300","39.17367","-77.2069099","https://www.plannedparenthood.org/health-center/maryland/gaithersburg/20886/gaithersburg-center-2493-90230"
"Smithtown Center","70 Maple Ave","Smithtown","NY","11787","US","631-361-7526","40.8530327","-73.1979301","https://www.plannedparenthood.org/health-center/new-york/smithtown/11787/smithtown-center-2320-91220"
"West Islip Center","180 Sunrise Highway","West Islip","NY","11795","US","631-893-0150","40.71841","-73.3063306","https://www.plannedparenthood.org/health-center/new-york/west-islip/11795/west-islip-center-2316-91220"
"Columbia Health Center","2712 Middleburg Drive Suite 107","Columbia","SC","29204","US","803-256-4908","34.015115","-81.003383","https://www.plannedparenthood.org/health-center/south-carolina/columbia/29204/columbia-health-center-2646-90860"
"Patchogue Center","450 Waverly Ave","Patchogue","NY","11772","US","631-475-5705","40.7796049","-73.0351985","https://www.plannedparenthood.org/health-center/new-york/patchogue/11772/patchogue-center-2317-91220"
"Huntington Center","755 New York Ave","Huntington","NY","11743","US","631-427-7154","40.8601109","-73.4206995","https://www.plannedparenthood.org/health-center/new-york/huntington/11743/huntington-center-2318-91220"
"Yonkers Center","20 S Broadway","Yonkers","NY","10701","US","914-965-1912","40.9330769","-73.8983812","https://www.plannedparenthood.org/health-center/new-york/yonkers/10701/yonkers-center-2202-91220"
"Danbury Center","44 Main Street","Danbury","CT","6810","US","203-743-2446","41.3885536","-73.44665579999999","https://www.plannedparenthood.org/health-center/connecticut/danbury/06810/danbury-center-2539-90220"
"Planned Parenthood  Prince George's County","5001 Silver Hill Road Suite #103","Suitland","MD","20746","US","240-563-1220","38.850421","-76.92157","https://www.plannedparenthood.org/health-center/maryland/suitland/20746/planned-parenthood-prince-georges-county-4198-90230"
"Enfield Center","111 Hazard Ave.","Enfield","CT","6082","US","860-741-2197","41.9889942","-72.56494349999998","https://www.plannedparenthood.org/health-center/connecticut/enfield/06082/enfield-center-2219-90220"
"Waterbury Center","617 Watertown Avenue","Waterbury","CT","6708","US","203-753-2119","41.5685576","-73.061488","https://www.plannedparenthood.org/health-center/connecticut/waterbury/06708/waterbury-center-2540-90220"
"Willimantic Center","1548 W Main Street","Willimantic","CT","6226","US","860-423-8426","41.7196131","-72.2363354","https://www.plannedparenthood.org/health-center/connecticut/willimantic/06226/willimantic-center-2224-90220"
"Metro Health Center","160 South 1000 East, Suite 120","Salt Lake City","UT","84102","US","801-257-6789","40.7657999","-111.8628122","https://www.plannedparenthood.org/health-center/utah/salt-lake-city/84102/metro-health-center-3958-91730"
"Rancho Mirage Surgical Services Center","71777 San Jacinto Drive, Suite 202","Rancho Mirage","CA","92270","US","888-743-7526","33.743704","-116.412801","https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-surgical-services-center-3267-90110"
"Baldwin Park Center","4070 Sterling Way","Baldwin Park","CA","91706","US","626-798-0706","34.0849047","-117.96210580000002","https://www.plannedparenthood.org/health-center/california/baldwin-park/91706/baldwin-park-center-9990-90090"
"Albany Health Center","855 Central Ave.","Albany","NY","12206","US","518-434-5678","42.6806801","-73.7887699","https://www.plannedparenthood.org/health-center/new-york/albany/12206/albany-health-center-3336-91020"
"Manhattan Health Center","26 Bleecker Street","New York","NY","10012","US","212-965-7000","40.725395","-73.993644","https://www.plannedparenthood.org/health-center/new-york/new-york/10012/manhattan-health-center-3325-91110"
"Alhambra Health Center","330 S. Garfield Avenue, 3rd Fl. - Suite 300","Alhambra","CA","91801","US","626-798-0706","34.0914979","-118.1236509","https://www.plannedparenthood.org/health-center/california/alhambra/91801/alhambra-health-center-3561-90090"
"Pasadena Health Center","1045 N. Lake Ave.","Pasadena","CA","91104","US","626-798-0706","34.1639179","-118.1329094","https://www.plannedparenthood.org/health-center/california/pasadena/91104/pasadena-health-center-3265-90090"
"North Tampa Health Center","236 E. Bearss Avenue","Tampa","FL","33613","US","813-443-9694","28.0890202","-82.4584567","https://www.plannedparenthood.org/health-center/florida/tampa/33613/north-tampa-health-center-4274-90300"
"Fort Myers Health Center","6418 Commerce Park Drive","Fort Myers","FL","33966","US","239-481-9999","26.5560253","-81.8966514","https://www.plannedparenthood.org/health-center/florida/fort-myers/33966/fort-myers-health-center-2505-90300"
"Sarasota Health Center","736 Central Avenue","Sarasota","FL","34236","US","941-953-4060","27.3429529","-82.54247219999999","https://www.plannedparenthood.org/health-center/florida/sarasota/34236/sarasota-health-center-2189-90300"
"Glen Cove Center","110 School Street","Glen Cove","NY","11542","US","516-750-2500","40.8679585","-73.630426","https://www.plannedparenthood.org/health-center/new-york/glen-cove/11542/glen-cove-center-2787-91110"
"Aurora","1284 S. Abilene St","Aurora","CO","80012","US","303-671-7526","39.693083","-104.8278313","https://www.plannedparenthood.org/health-center/colorado/aurora/80012/aurora-2489-90210"
"Fayetteville Health Center","4551 Yadkin Rd","Fayetteville","NC","28303","US","866-942-7762","35.079286","-78.959451","https://www.plannedparenthood.org/health-center/north-carolina/fayetteville/28303/fayetteville-health-center-4173-90860"
"Cincinnati Surgical Center","2314 Auburn Avenue","Cincinnati","OH","45219","US","513-287-6488","39.12364900000001","-84.507931","https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260"
"Hudson Health Center","804 Columbia Street","Hudson","NY","12534","US","518-828-4675","42.25852999999999","-73.766663","https://www.plannedparenthood.org/health-center/new-york/hudson/12534/hudson-health-center-2380-91020"
"Troy Health Center","120 Hoosick Street","Troy","NY","12180","US","518-434-5678","42.73911","-73.67626","https://www.plannedparenthood.org/health-center/new-york/troy/12180/troy-health-center-2780-91020"
"San Bernardino Health Center","1873 S. Commercenter Dr. W.","San Bernardino","CA","92408","US","909-890-5511","34.0677945","-117.2856447","https://www.plannedparenthood.org/health-center/california/san-bernardino/92408/san-bernardino-health-center-2282-90160"
"Hempstead Center","540 Fulton Ave","Hempstead","NY","11550","US","516-750-2500","40.7098457","-73.61277589999999","https://www.plannedparenthood.org/health-center/new-york/hempstead/11550/hempstead-center-3321-91110"
"Kahului Health Center","140 Hoohana Street, Suite 303  Maui","Kahului","HI","96732","US","800-769-0045","20.8882346","-156.464579","https://www.plannedparenthood.org/health-center/hawaii/kahului/96732/kahului-health-center-2950-91810"
"Southwest Fort Worth Abortion Services Center","6464 John Ryan Drive - Suite A","Fort Worth","TX","76132","US","817-277-6610","32.6551962","-97.42075590000002","https://www.plannedparenthood.org/health-center/texas/fort-worth/76132/southwest-fort-worth-abortion-services-center-4251-21342"
"Burlington Health Center","173 Saint Paul Street","Burlington","VT","5401","US","802-863-6326","44.474397","-73.2141819","https://www.plannedparenthood.org/health-center/vermont/burlington/05401/burlington-health-center-2650-91770"
"Asheville Health Center","68 McDowell St","Asheville","NC","28801","US","828-252-7928","35.5821404","-82.5537998","https://www.plannedparenthood.org/health-center/north-carolina/asheville/28801/asheville-health-center-4134-90860"
"Amsterdam Center","4803 State Highway/30 KEM Plaza","Amsterdam","NY","12010","US","518-842-0285","42.9377453","-74.190356","https://www.plannedparenthood.org/health-center/new-york/amsterdam/12010/amsterdam-center-3047-91110"
"Orange Health Center","700 S. Tustin St.","Orange","CA","92866","US","714-922-4100","33.7768704","-117.836437","https://www.plannedparenthood.org/health-center/california/orange/92866/orange-health-center-3264-90160"
"Naples Center","1425 Creech Road","Naples","FL","34103","US","239-262-0301","26.1824425","-81.79223039999998","https://www.plannedparenthood.org/health-center/florida/naples/34103/naples-center-3294-90300"
"Little Rock Aldersgate Road Health Center","1501 Aldersgate Rd.","Little Rock","AR","72205","US","501-666-7526","34.7399996","-92.3895053","https://www.plannedparenthood.org/health-center/arkansas/little-rock/72205/little-rock-aldersgate-road-health-center-9998-90740"
"Portland Health Center","443 Congress Street","Portland","ME","4101","US","207-797-8881","43.6580091","-70.2588201","https://www.plannedparenthood.org/health-center/maine/portland/04101/portland-health-center-2940-91770"
"South Dallas Abortion Services Center","7989 West Virginia Drive","Dallas","TX","75237","US","214-373-1868","32.649226","-96.876395","https://www.plannedparenthood.org/health-center/texas/dallas/75237/south-dallas-abortion-services-center-4149-21342"
"El Paso Abortion Services Center","1511 E. Missouri Avenue","El Paso","TX","79902","US","915-626-5192","31.7705209","-106.4766214","https://www.plannedparenthood.org/health-center/texas/el-paso/79902/el-paso-abortion-services-center-4285-21342"
"Manchester Health Center","24 Pennacook Street","Manchester","NH","3104","US","603-669-7321","43.0016515","-71.4631639","https://www.plannedparenthood.org/health-center/new-hampshire/manchester/03104/manchester-health-center-2740-91770"
"Pomona Health Center","1550 N Garey Avenue","Pomona","CA","91767","US","800-576-5544","34.073586","-117.75182999999998","https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070"
"Kissimmee Health Center","610 Oak Commons Blvd.","Kissimmee","FL","34741","US","407-246-1788","28.301567","-81.410649","https://www.plannedparenthood.org/health-center/florida/kissimmee/34741/kissimmee-health-center-4144-90300"
"West Hollywood Health Center","869 Westbourne Dr.","West Hollywood","CA","90069","US","800-576-5544","34.086775","-118.379971","https://www.plannedparenthood.org/health-center/california/west-hollywood/90069/west-hollywood-health-center-4187-90070"
"Madison East","3706 Orin Road","Madison","WI","53704","US","608-241-3767","43.1233042","-89.3241652","https://www.plannedparenthood.org/health-center/wisconsin/madison/53704/madison-east-2733-91860"
"Warminster Medical Center","610 Louis Drive","Warminster","PA","18974","US","215-957-7980","40.2011433","-75.086492","https://www.plannedparenthood.org/health-center/pennsylvania/warminster/18974/warminster-medical-center-2510-91410"
"Van Nuys Health Center","7100 Van Nuys Blvd. #108","Van Nuys","CA","91405","US","800-576-5544","34.1994892","-118.44800600000002","https://www.plannedparenthood.org/health-center/california/van-nuys/91405/van-nuys-health-center-2234-90070"
"Susie and John Stanley Health Center at Reading","1920 Kutztown Road","Reading","PA","19604","US","610-376-8061","40.3642526","-75.9201033","https://www.plannedparenthood.org/health-center/pennsylvania/reading/19604/susie-and-john-stanley-health-center-at-reading-2725-91410"
"El Monte Health Center","4786 N. Peck Road, Ste. B","El Monte","CA","91732","US","800-576-5544","34.090169","-118.0137342","https://www.plannedparenthood.org/health-center/california/el-monte/91732/el-monte-health-center-2322-90070"
"Lakewood Health Center","5525 E Del Amo Blvd.","Lakewood","CA","90713","US","800-576-5544","33.8474006","-118.1241151","https://www.plannedparenthood.org/health-center/california/lakewood/90713/lakewood-health-center-2359-90070"
"Canoga Park Health Center","21001 Sherman Way #9","Canoga Park","CA","91303","US","800-576-5544","34.2019201","-118.5909021","https://www.plannedparenthood.org/health-center/california/canoga-park/91303/canoga-park-health-center-2235-90070"
"South San Francisco Health Center","435 Grand Avenue","South San Francisco","CA","94080","US","877-855-7526","37.6557024","-122.4139958","https://www.plannedparenthood.org/health-center/california/south-san-francisco/94080/south-san-francisco-health-center-4255-90130"
"Concord Health Center","2185 Pacheco Street","Concord","CA","94520","US","925-676-0300","37.9789538","-122.03452040000002","https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200"
"North Stockton Health Center","4555 Precissi Lane","Stockton","CA","95207","US","209-477-4103","37.989118","-121.31535630000002","https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130"
"Gilroy Health Center","760 Renz Lane","Gilroy","CA","95020","US","408-847-1739","37.004138","-121.5558983","https://www.plannedparenthood.org/health-center/california/gilroy/95020/gilroy-health-center-2433-90130"
"Santa Rosa Health Center","1140 Sonoma Avenue Building 3","Santa Rosa","CA","95405","US","707-527-7656","38.4409226","-122.6997185","https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200"
"Delran","8008 Route 130N","Delran","NJ","8075","US","609-788-3195","40.0235363","-74.9376676","https://www.plannedparenthood.org/health-center/new-jersey/delran/08075/delran-4147-90900"
"Santa Monica Health Center","1316 3rd Street Promenade #201","Santa Monica","CA","90401","US","800-576-5544","34.0164535","-118.4975694","https://www.plannedparenthood.org/health-center/california/santa-monica/90401/santa-monica-health-center-2476-90070"
"Dorothy Hecht Health Center","8520 So. Broadway","Los Angeles","CA","90003","US","800-576-5544","33.9609414","-118.2778463","https://www.plannedparenthood.org/health-center/california/los-angeles/90003/dorothy-hecht-health-center-2465-90070"
"Jones Center","7655 Greenleaf Ave","Whittier","CA","90602","US","800-576-5544","33.97205240000001","-118.03767109999998","https://www.plannedparenthood.org/health-center/california/whittier/90602/jones-center-2358-90070"
"Madison South Health Center","2222 S. Park Street Suite 210","Madison","WI","53713","US","608-251-6546","43.041466","-89.394482","https://www.plannedparenthood.org/health-center/wisconsin/madison/53713/madison-south-health-center-3937-91860"
"Bend Health Center","2330 NE Division St., Suite 7","Bend","OR","97703","US","888-875-7820","44.0730574","-121.305137","https://www.plannedparenthood.org/health-center/oregon/bend/97703/bend-health-center-2373-91400"
"Sioux Falls Health Center","6511 West 41st Street","Sioux Falls","SD","57106","US","605-361-5100","43.5144915","-96.8078434","https://www.plannedparenthood.org/health-center/south-dakota/sioux-falls/57106/sioux-falls-health-center-2738-90720"
"Southside Health Center","935 E Hanna Ave","Indianapolis","IN","46227","US","317-205-8088","39.7078247","-86.1433537","https://www.plannedparenthood.org/health-center/indiana/indianapolis/46227/southside-health-center-2872-91810"
"City Heights Center","4305 University Avenue, #350","San Diego","CA","92105","US","888-743-7526","32.749440199999995","-117.101449","https://www.plannedparenthood.org/health-center/california/san-diego/92105/city-heights-center-3075-90110"
"Springfield Health Center","601 N. Bruns","Springfield","IL","62702","US","217-546-1060","39.80857239999999","-89.6877093","https://www.plannedparenthood.org/health-center/illinois/springfield/62702/springfield-health-center-3284-90430"
"Lowville Center","7398 Turin Rd","Lowville","NY","13367","US","315-804-6174","43.776578","-75.4789356","https://www.plannedparenthood.org/health-center/new-york/lowville/13367/lowville-center-2882-91210"
"North County Health Center","Surrey Plaza II, 2782 North Hwy 67","Florissant","MO","63033","US","314-921-4445","38.8005339","-90.2883211","https://www.plannedparenthood.org/health-center/missouri/florissant/63033/north-county-health-center-2886-90770"
"Montclair Center","29 N Fullerton Ave","Montclair","NJ","7042","US","973-746-7116","40.8149109","-74.216464","https://www.plannedparenthood.org/health-center/new-jersey/montclair/07042/montclair-center-2550-90920"
"Imperial Valley Health Center","1463 South 4th Street","El Centro","CA","92243","US","760-594-9100","32.78033359999999","-115.55237030000002","https://www.plannedparenthood.org/health-center/california/el-centro/92243/imperial-valley-health-center-4182-90110"
"Milwaukie-Oak Grove Health Center","14411 SE McLoughlin Blvd","Milwaukie","OR","97267","US","888-875-7820","45.4190627","-122.6333387","https://www.plannedparenthood.org/health-center/oregon/milwaukie/97267/milwaukie-oak-grove-health-center-4195-91400"
"Near North: Elizabeth Cohn Morris Health Center","1200 N LaSalle Street","Chicago","IL","60610","US","312-266-1033","41.9040395","-87.6331708","https://www.plannedparenthood.org/health-center/illinois/chicago/60610/near-north-elizabeth-cohn-morris-health-center-2474-90430"
"Somerset Health Center","118 South Kimberly Ave, Ste. 201","Somerset","PA","15501","US","814-443-6549","40.0082384","-79.0764336","https://www.plannedparenthood.org/health-center/pennsylvania/somerset/15501/somerset-health-center-2633-91470"
"Greater Boston Health Center","1055 Commonwealth Avenue","Boston","MA","2215","US","800-258-4448","42.352619","-71.12287399999998","https://www.plannedparenthood.org/health-center/massachusetts/boston/02215/greater-boston-health-center-3293-90610"
"Beaverton Health Center","12220 SW First St., Suite 200","Beaverton","OR","97005","US","888-875-7820","45.4858639","-122.8024191","https://www.plannedparenthood.org/health-center/oregon/beaverton/97005/beaverton-health-center-2410-91400"
"Pottstown Health Center","2081 E. High Street","Pottstown","PA","19464","US","610-326-8080","40.2444989","-75.6045445","https://www.plannedparenthood.org/health-center/pennsylvania/pottstown/19464/pottstown-health-center-2340-91460"
"New Orleans Health Center","4636 S Claiborne Ave","New Orleans","LA","70125","US","504-897-9200","29.9566647","-90.1073935","https://www.plannedparenthood.org/health-center/louisiana/new-orleans/70125/new-orleans-health-center-3961-91650"
"Cedar Rapids Health Center","3425 First Ave SE, Suite 100","Cedar Rapids","IA","52402","US","877-811-7526","42.0131449","-91.63411449999998","https://www.plannedparenthood.org/health-center/iowa/cedar-rapids/52402/cedar-rapids-health-center-3969-90380"
"Central Massachusetts Health Center","470 Pleasant Street","Worcester","MA","1609","US","800-258-4448","42.2631817","-71.8181417","https://www.plannedparenthood.org/health-center/massachusetts/worcester/01609/central-massachusetts-health-center-2660-90610"
